gold_id,candidate_name,date,day_of_week,d_day,time,district,place_name,address,event_title,place_type,campaign_activity_type,online_offline,target_voter_group,context_tags,gold_label_0_3,gold_label_reason,use_for_place_recommendation,use_for_message_recommendation,source_image
GWON_011,정원오,2026-03-11,수,D-84,17:00,온라인,동아일보 황형준 <법정모독>,YouTube,동아일보 황형준 <법정모독>,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;저녁;온라인;방송;온라인노출,0,온라인 중심 또는 장소 정보가 부족해 장소 추천 평가에는 부적합함,False,False,정원오20260311.jpg
GWON_012,정원오,2026-03-11,수,D-84,19:00,온라인,주기자 라이브,LIVE,주기자 라이브,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;저녁;온라인;방송;온라인노출,0,온라인 중심 또는 장소 정보가 부족해 장소 추천 평가에는 부적합함,False,False,정원오20260311.jpg
GWON_013,정원오,2026-03-12,목,D-83,07:20,온라인,SBS 김태현의 정치쇼,SBS 러브FM/시교라,SBS 김태현의 정치쇼,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;오전;온라인;방송;온라인노출,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260312.jpg
GWON_014,정원오,2026-03-12,목,D-83,14:50,온라인,MBC 뉴스외전,MBCNEWS,MBC 뉴스외전,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;오후;온라인;방송;온라인노출,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260312.jpg
GWON_015,정원오,2026-03-12,목,D-83,16:00,강서구,방신전통시장,서울특별시 강서구 방화동로16길 31 방신전통시장 입구,하나씩 강서 착착 - 방신전통시장,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;강서구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260312.jpg
GWON_016,정원오,2026-03-12,목,D-83,17:25,강서구,남부골목시장,서울특별시 강서구 화곡동 943-7 남부골목시장,하나씩 강서 착착 - 남부골목시장,골목상권,지역상권방문,오프라인,상인;지역주민;생활권 유권자,골목상권;지역상권방문;저녁;강서구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260312.jpg
GWON_017,정원오,2026-03-13,금,D-82,14:10,노원구,상계중앙시장,서울특별시 노원구 상계로 147,하나씩 노원 착착 - 상계중앙시장,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;노원구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260313.jpg
GWON_018,정원오,2026-03-13,금,D-82,14:50,노원구,구립수락노인종합복지관,서울특별시 노원구 수락산로 214,하나씩 노원 착착 - 구립수락노인종합복지관,복지시설,복지현장방문,오프라인,노년층;복지수요자;지역주민,복지시설;복지현장방문;오후;노원구;복지;노년층,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260313.jpg
GWON_019,정원오,2026-03-13,금,D-82,15:30,노원구,공릉도깨비시장,서울특별시 노원구 동일로 1032,하나씩 노원 착착 - 공릉도깨비시장,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;노원구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260313.jpg
GWON_020,정원오,2026-03-13,금,D-82,18:00,온라인,이슈전파사,한국일보(hankookilbo.com),이슈전파사,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;저녁;온라인;방송;온라인노출,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260313.jpg
GWON_021,정원오,2026-03-16,월,D-79,13:00,구로구,남구로시장,서울시 구로구 구로동로 138,하나씩 구로 착착 - 남구로시장,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;구로구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260316.jpg
GWON_022,정원오,2026-03-16,월,D-79,14:00,구로구,궁동종합사회복지관,서울시 구로구 오리로22길 5,하나씩 구로 착착 - 궁동종합사회복지관,복지시설,복지현장방문,오프라인,노년층;복지수요자;지역주민,복지시설;복지현장방문;오후;구로구;복지;노년층,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260316.jpg
GWON_023,정원오,2026-03-17,화,D-78,10:00,성동구,성동안심상생학사,서울시 성동구 살곶이6길 1,청년 주거 간담회 및 공약 발표,대학/청년공간,정책간담회,오프라인,청년;대학생;정책관심층,대학/청년공간;정책간담회;오전;성동구,2,장소적 의미는 있으나 공약발표·간담회·상징행사 성격이 강해 보조 정답으로 적합함,True,True,정원오20260317.jpg
GWON_024,정원오,2026-03-17,화,D-78,12:30,온라인,KBS 세상의 모든 정보 윤인구입니다,KBS 1라디오 LIVE,KBS 세상의 모든 정보 윤인구입니다,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;오후;온라인;방송;온라인노출,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260317.jpg
GWON_025,정원오,2026-03-17,화,D-78,14:00,마포구,"망원시장, 월드컵시장",서울시 마포구 월드컵로 13길 64,"하나씩 마포 착착 - 망원시장, 월드컵시장",전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;마포구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260317.jpg
GWON_026,정원오,2026-03-19,목,D-76,10:00,송파구,잠실학생체육관,송파구 올림픽로 25,2026 서울시 환경공무관 한마음 축제,체육시설,체육행사,오프라인,생활체육 참여자;지역주민;일반시민,체육시설;체육행사;오전;송파구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260319.jpg
GWON_027,정원오,2026-03-19,목,D-76,14:00,온라인,서울시장 예비경선 합동 토론회,SBS 주영진의 뉴스브리핑/델리민주 LIVE,더불어민주당 서울시장 예비경선 합동 토론회,토론회/간담회,토론회,혼합,정책관심층;당원/조직;언론시청자,토론회/간담회;토론회;오후;온라인,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260319.jpg
GWON_028,정원오,2026-03-19,목,D-76,19:00,온라인,CBS 박재홍의 한판승부,LIVE,CBS 박재홍의 한판승부,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;저녁;온라인;방송;온라인노출,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260319.jpg
GWON_029,정원오,2026-03-23,월,D-72,10:30,영등포구,영등대로 복합개발 현장,영등대로 복합개발 현장,세 번째 공약발표(안전 분야),공공기관,공약발표,오프라인,정책관심층;조직관계자;일반시민,공공기관;공약발표;오전;영등포구,2,장소적 의미는 있으나 공약발표·간담회·상징행사 성격이 강해 보조 정답으로 적합함,True,True,정원오20260323.jpg
GWON_030,정원오,2026-03-24,화,D-71,16:00,온라인,KBS 사사건건,KBS 사사건건 LIVE,KBS 사사건건,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;오후;온라인;방송;온라인노출,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260324.jpg
GWON_031,정원오,2026-03-24,화,D-71,17:00,광화문,세종대로 사거리 광화문 광장,세종대로 사거리 광화문 광장,퇴근인사,교통거점,퇴근인사,오프라인,직장인;퇴근길 유권자;일반시민,교통거점;퇴근인사;저녁;광화문;퇴근시간,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260324.jpg
GWON_032,정원오,2026-03-24,화,D-71,17:40,종로구,세종마을 음식문화거리,세종마을 음식문화거리,골목상권 방문,골목상권,지역상권방문,오프라인,상인;지역주민;생활권 유권자,골목상권;지역상권방문;저녁;종로구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260324.jpg
GWON_033,정원오,2026-03-25,수,D-70,14:30,온라인,SBS 주영진의 뉴스브리핑,SBS 뉴스 LIVE,SBS 주영진의 뉴스브리핑,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;오후;온라인;방송;온라인노출,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260325.jpg
GWON_034,정원오,2026-03-25,수,D-70,17:20,광진구,중곡제일골목시장,서울특별시 광진구 중곡동 221-16,하나씩 광진 착착 - 중곡제일골목시장,골목상권,지역상권방문,오프라인,상인;지역주민;생활권 유권자,골목상권;지역상권방문;저녁;광진구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260325.jpg
GWON_035,정원오,2026-03-25,수,D-70,18:15,광진구,건대 맛의거리,서울특별시 광진구 동일로22길,하나씩 광진 착착 - 건대 맛의거리,골목상권,지역상권방문,오프라인,상인;지역주민;생활권 유권자,골목상권;지역상권방문;저녁;광진구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260325.jpg
GWON_036,정원오,2026-03-26,목,D-69,14:20,관악구,관악노인종합복지관,관악노인종합복지관,"[공약발표] 어르신 복지도 착착, <살던 곳에서 건강하고 행복한 노후를!>",복지시설,공약발표,오프라인,노년층;복지수요자;지역주민,복지시설;공약발표;오후;관악구;복지;노년층,2,장소적 의미는 있으나 공약발표·간담회·상징행사 성격이 강해 보조 정답으로 적합함,True,True,정원오20260326.jpg
GWON_037,정원오,2026-03-26,목,D-69,16:00,관악구,도림천,서울특별시 관악구 남부순환로 1588,하나씩 관악 착착 - 도림천 방문인사,공원,방문인사,오프라인,지역주민;가족단위;일반시민,공원;방문인사;오후;관악구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260326.jpg
GWON_038,정원오,2026-03-26,목,D-69,16:15,관악구,신원시장,서울특별시 관악구 신원로 21,하나씩 관악 착착 - 신원시장 방문인사,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;관악구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260326.jpg
GWON_039,정원오,2026-03-27,금,D-68,10:00,종로구,서울시당 대학생위원회 정책간담회,서울특별시 종로구 우정국로2길 21 대왕빌딩 11층,서울시당 대학생위원회 정책간담회,대학/청년공간,정책간담회,오프라인,청년;대학생;정책관심층,대학/청년공간;정책간담회;오전;종로구,2,장소적 의미는 있으나 공약발표·간담회·상징행사 성격이 강해 보조 정답으로 적합함,True,True,정원오20260327.jpg
GWON_040,정원오,2026-03-27,금,D-68,16:00,온라인,경향TV 구교형의 정치비상구,경향티비 LIVE,경향TV 구교형의 정치비상구,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;오후;온라인;방송;온라인노출,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260327.jpg
GWON_041,정원오,2026-03-28,토,D-67,12:50,성동구,응봉산 팔각정,응봉산 팔각정,응봉산 방문인사,공원,방문인사,오프라인,지역주민;가족단위;일반시민,공원;방문인사;오후;성동구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260328.jpg
GWON_042,정원오,2026-03-28,토,D-67,15:00,마포구,유동균 후보 선거사무소,유동균 후보 선거사무소,유동균 마포구청장 예비후보 선거사무소 개소식,선거사무소,선거조직행사,오프라인,당원/조직;지역정치 관계자,선거사무소;선거조직행사;오후;마포구,2,장소적 의미는 있으나 공약발표·간담회·상징행사 성격이 강해 보조 정답으로 적합함,True,True,정원오20260328.jpg
GWON_043,정원오,2026-03-30,월,D-65,07:35,온라인,SBS 김태현의 정치쇼,SBS 방송 LIVE,SBS 김태현의 정치쇼,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;오전;온라인;방송;온라인노출,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260330.jpg
GWON_044,정원오,2026-03-30,월,D-65,09:30,영등포구,국회의원회관 대회의실,서울특별시 영등포구 의사당대로 1 국회의원회관 대회의실,현장 최고위원회의,공공기관,선거조직행사,오프라인,정책관심층;조직관계자;일반시민,공공기관;선거조직행사;오전;영등포구,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260330.jpg
GWON_045,정원오,2026-03-30,월,D-65,11:00,동작구,노량진수산시장,서울특별시 동작구 노들로2길 3,노량진수산시장 방문인사,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오전;동작구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260330.jpg
GWON_046,정원오,2026-03-31,화,D-64,11:30,동대문구,장안동 벚꽃길,장안벚꽃길북카페 - 동대문구 장안벚꽃로 132,장안동 벚꽃길 거리인사,공원,거리인사,오프라인,지역주민;가족단위;일반시민,공원;거리인사;오전;동대문구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260331.jpg
GWON_047,정원오,2026-03-31,화,D-64,21:00,온라인,서울시장 후보 본경선 합동토론회,MBC 100분 토론/델리민주 LIVE,더불어민주당 서울시장 후보 본경선 합동토론회,토론회/간담회,토론회,혼합,정책관심층;당원/조직;언론시청자,토론회/간담회;토론회;저녁;온라인,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260331.jpg
GWON_048,정원오,2026-04-02,목,D-62,16:00,양천구,파리공원,서울특별시 양천구 목동동로 363,양천 하나씩 착착 - 파리공원,공원,방문인사,오프라인,지역주민;가족단위;일반시민,공원;방문인사;오후;양천구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260402.jpg
GWON_049,정원오,2026-04-02,목,D-62,17:00,양천구,신월4동 주민센터 광장,서울특별시 양천구 오목로5길 34 신월4동 주민센터 광장,양천(을) 지방선거 필승결의대회,공공기관,선거조직행사,오프라인,정책관심층;조직관계자;일반시민,공공기관;선거조직행사;저녁;양천구,2,장소적 의미는 있으나 공약발표·간담회·상징행사 성격이 강해 보조 정답으로 적합함,True,True,정원오20260402.jpg
GWON_050,정원오,2026-04-03,금,D-61,13:30,종로구,송현공원,서울특별시 종로구 안국동 175-2 송현공원,제주 4·3 제78주년 추모,추모/상징공간,추모행사,오프라인,일반시민;상징의제 관심층,추모/상징공간;추모행사;오후;종로구,2,장소적 의미는 있으나 공약발표·간담회·상징행사 성격이 강해 보조 정답으로 적합함,True,True,정원오20260403.jpg
GWON_051,정원오,2026-04-03,금,D-61,15:40,온라인,KBS 합동토론회,KBS News LIVE/델리민주 LIVE,더불어민주당 본경선 KBS 합동토론회,토론회/간담회,토론회,혼합,정책관심층;당원/조직;언론시청자,토론회/간담회;토론회;오후;온라인,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260403.jpg
GWON_052,정원오,2026-04-04,토,D-60,10:00,노원구,마들스포츠타운,마들스포츠타운,노원구민체육대회,체육시설,체육행사,오프라인,생활체육 참여자;지역주민;일반시민,체육시설;체육행사;오전;노원구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260404.jpg
GWON_053,정원오,2026-04-05,일,D-59,14:00,온라인,본경선 합동연설회,델리민주 LIVE,본경선 합동연설회,토론회/간담회,토론회,혼합,정책관심층;당원/조직;언론시청자,토론회/간담회;토론회;오후;온라인,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260405.jpg
GWON_054,정원오,2026-04-05,일,D-59,17:40,양천구,양재천 수변무대 일대,양재천 수변무대 일대,양재천 벚꽃 등축제 방문인사,공원,방문인사,오프라인,지역주민;가족단위;일반시민,공원;방문인사;저녁;양천구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260405.jpg
