gold_id,candidate_name,date,day_of_week,d_day,time,district,place_name,address,event_title,place_type,campaign_activity_type,online_offline,target_voter_group,context_tags,gold_label_0_3,gold_label_reason,use_for_place_recommendation,use_for_message_recommendation,source_image,review_required,review_reason,ocr_text
,오세훈,2026-05-14,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0514.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-15,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0515.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-16,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0516.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-17,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0517.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-18,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0518.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-19,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0519.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-20,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0520.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-21,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0521.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-22,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0522.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-24,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0524.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-25,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0525.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,정원오,2026-05-17,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,정원오20260517.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,정원오,2026-05-18,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,정원오20260518.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,정원오,2026-05-19,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,정원오20260519.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,정원오,2026-05-20,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,정원오20260520.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,정원오,2026-05-21,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,정원오20260521.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,정원오,2026-05-22,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,정원오20260522.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,정원오,2026-05-23,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,정원오20260523.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,정원오,2026-05-24,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,정원오20260524.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,정원오,2026-05-25,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,정원오20260525.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
